Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
qc | fastqc | PGXXXF240300_fail_barcode11	PGXXXF240300_fail_barcode11.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1265.0	0.0	134-3989	49.0	99.76284584980237	799.2735177865612	pass	fail	fail	fail	pass	pass	warn	pass	warn	pass	
qc | fastqc | PGXXXF240300_fail_barcode12	PGXXXF240300_fail_barcode12.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4698.0	0.0	76-21295	49.0	99.89357173265219	794.4233716475096	pass	fail	fail	fail	pass	pass	warn	pass	pass	pass	
qc | fastqc | PGXXXF240300_fail_barcode13	PGXXXF240300_fail_barcode13.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1182.0	0.0	90-21074	48.0	100.0	797.8900169204737	pass	fail	fail	fail	warn	pass	warn	pass	pass	pass	
qc | fastqc | PGXXXF240300_fail_barcode14	PGXXXF240300_fail_barcode14.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	212.0	0.0	96-3099	49.0	100.0	711.2641509433962	pass	fail	fail	fail	fail	pass	warn	pass	warn	pass	
qc | fastqc | PGXXXF240300_fail_barcode15	PGXXXF240300_fail_barcode15.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5046.0	0.0	93-68576	49.0	99.86127625842252	1126.8812921125643	pass	fail	fail	fail	pass	pass	warn	pass	warn	pass	
qc | fastqc | PGXXXF240300_fail_barcode16	PGXXXF240300_fail_barcode16.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	998.0	0.0	94-141969	54.0	99.8997995991984	2828.1442885771544	pass	fail	fail	fail	warn	pass	warn	pass	warn	pass	
qc | fastqc | PGXXXF240300_fail_barcode17	PGXXXF240300_fail_barcode17.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	962.0	0.0	147-8134	50.0	99.8960498960499	882.9251559251559	pass	fail	fail	fail	warn	pass	warn	pass	warn	warn	
qc | fastqc | PGXXXF240300_fail_barcode18	PGXXXF240300_fail_barcode18.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3988.0	0.0	81-21410	49.0	99.82447342026079	821.9468405215647	pass	fail	fail	fail	pass	pass	warn	pass	warn	pass	
qc | fastqc | PGXXXF240300_fail_barcode19	PGXXXF240300_fail_barcode19.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1083.0	0.0	129-207479	49.0	99.81532779316713	2737.9113573407203	pass	fail	fail	fail	warn	pass	warn	pass	warn	pass	
qc | fastqc | PGXXXF240300_fail_barcode20	PGXXXF240300_fail_barcode20.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1153.0	0.0	127-8244	49.0	100.0	766.7562879444927	pass	fail	fail	fail	fail	pass	warn	pass	pass	pass	
qc | fastqc | PGXXXF240300_fail_barcode21	PGXXXF240300_fail_barcode21.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1618.0	0.0	84-4294	49.0	99.69097651421508	762.7812113720643	pass	fail	fail	fail	warn	pass	warn	pass	warn	pass	
qc | fastqc | PGXXXF240300_fail_barcode22	PGXXXF240300_fail_barcode22.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	453.0	0.0	143-5483	48.0	99.33774834437085	795.121412803532	pass	fail	fail	fail	fail	pass	warn	pass	warn	pass	
qc | fastqc | PGXXXF240300_fail_barcode23	PGXXXF240300_fail_barcode23.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	616.0	0.0	125-24865	49.0	100.0	831.6850649350649	pass	fail	fail	fail	warn	pass	warn	pass	warn	pass	
qc | fastqc | PGXXXF240300_fail_barcode24	PGXXXF240300_fail_barcode24.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	888.0	0.0	106-4999	49.0	100.0	798.0990990990991	pass	fail	fail	fail	warn	pass	warn	pass	warn	pass	
qc | fastqc | PGXXXF240300_pass_barcode01	PGXXXF240300_pass_barcode01.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100.0	0.0	237-5114	50.0	100.0	904.58	pass	pass	fail	fail	fail	pass	warn	pass	warn	fail	
qc | fastqc | PGXXXF240300_pass_barcode02	PGXXXF240300_pass_barcode02.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66.0	0.0	127-2236	52.0	100.0	700.4242424242424	pass	pass	fail	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc | PGXXXF240300_pass_barcode03	PGXXXF240300_pass_barcode03.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100.0	0.0	152-3875	51.0	100.0	799.89	pass	pass	warn	fail	fail	pass	warn	pass	warn	fail	
qc | fastqc | PGXXXF240300_pass_barcode04	PGXXXF240300_pass_barcode04.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76.0	0.0	233-3160	51.0	100.0	713.2236842105264	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc | PGXXXF240300_pass_barcode05	PGXXXF240300_pass_barcode05.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14597665.0	0.0	66-242950	53.0	52.965867363380006	2503.3800824309915	pass	fail	pass	fail	fail	pass	warn	warn	warn	fail	
qc | fastqc | PGXXXF240300_pass_barcode06	PGXXXF240300_pass_barcode06.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13921564.0	0.0	67-109941	52.0	57.97273416835289	2500.8485690257216	pass	fail	pass	fail	fail	pass	warn	warn	warn	fail	
qc | fastqc | PGXXXF240300_pass_barcode07	PGXXXF240300_pass_barcode07.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13515971.0	0.0	66-102849	51.0	55.35182098075373	2501.2186975689724	pass	fail	pass	fail	fail	pass	warn	warn	warn	fail	
qc | fastqc | PGXXXF240300_pass_barcode08	PGXXXF240300_pass_barcode08.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13266600.0	0.0	71-227167	52.0	58.36419846707405	2503.385342514284	pass	fail	pass	fail	fail	pass	warn	warn	warn	fail	
qc | fastqc | PGXXXF240300_pass_barcode09	PGXXXF240300_pass_barcode09.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29.0	0.0	199-2081	50.0	100.0	777.1724137931035	pass	pass	warn	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc | PGXXXF240300_pass_barcode10	PGXXXF240300_pass_barcode10.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45.0	0.0	145-3888	49.0	100.0	708.8888888888889	pass	pass	warn	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc | PGXXXF240300_pass_barcode11	PGXXXF240300_pass_barcode11.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	146.0	0.0	143-3710	52.0	98.63013698630137	789.7945205479452	pass	fail	fail	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc | PGXXXF240300_pass_barcode12	PGXXXF240300_pass_barcode12.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	340.0	0.0	132-4537	51.0	98.52941176470588	720.3823529411765	pass	fail	fail	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc | PGXXXF240300_pass_barcode13	PGXXXF240300_pass_barcode13.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42.0	0.0	207-3402	47.0	100.0	752.6190476190476	pass	pass	warn	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc | PGXXXF240300_pass_barcode14	PGXXXF240300_pass_barcode14.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55.0	0.0	185-1974	50.0	94.54545454545455	681.7454545454545	pass	pass	warn	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc | PGXXXF240300_pass_barcode15	PGXXXF240300_pass_barcode15.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	345.0	0.0	168-3572	51.0	98.55072463768117	887.1855072463768	pass	fail	warn	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc | PGXXXF240300_pass_barcode16	PGXXXF240300_pass_barcode16.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66.0	0.0	225-2230	52.0	100.0	656.439393939394	pass	pass	warn	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc | PGXXXF240300_pass_barcode17	PGXXXF240300_pass_barcode17.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	126.0	0.0	183-2547	52.0	92.85714285714286	801.3809523809524	pass	fail	fail	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc | PGXXXF240300_pass_barcode18	PGXXXF240300_pass_barcode18.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	192.0	0.0	109-3356	51.0	100.0	898.890625	pass	fail	fail	fail	fail	pass	warn	pass	warn	fail	
qc | fastqc | PGXXXF240300_pass_barcode19	PGXXXF240300_pass_barcode19.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60.0	0.0	174-1359	52.0	78.33333333333333	433.68333333333334	pass	pass	pass	fail	fail	pass	warn	pass	fail	warn	
qc | fastqc | PGXXXF240300_pass_barcode20	PGXXXF240300_pass_barcode20.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58.0	0.0	118-4847	47.0	100.0	791.6724137931035	pass	pass	fail	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc | PGXXXF240300_pass_barcode21	PGXXXF240300_pass_barcode21.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	256.0	0.0	182-3557	51.0	88.28125	672.75	pass	fail	warn	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc | PGXXXF240300_pass_barcode22	PGXXXF240300_pass_barcode22.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26.0	0.0	161-3197	47.0	100.0	829.7692307692307	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc | PGXXXF240300_pass_barcode23	PGXXXF240300_pass_barcode23.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41.0	0.0	218-3397	50.0	97.5609756097561	780.7073170731708	pass	pass	warn	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc | PGXXXF240300_pass_barcode24	PGXXXF240300_pass_barcode24.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69.0	0.0	150-6289	48.0	98.55072463768117	675.0289855072464	pass	pass	warn	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc | PGXXXF240300_pass_unclassified	PGXXXF240300_pass_unclassified.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3097976.0	0.0	1-149153	52.0	73.46116792255732	2516.8873490304636	pass	fail	pass	fail	warn	pass	warn	pass	warn	fail	
qc | fastqc-nano | PGXXXF240300_fail_barcode01	PGXXXF240300_fail_barcode01.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1413.0	0.0	78-14756	47.0	99.78768577494692	918.4118895966029	pass	fail	fail	fail	fail	pass	warn	pass	warn	pass	
qc | fastqc-nano | PGXXXF240300_fail_barcode02	PGXXXF240300_fail_barcode02.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1021.0	0.0	87-148994	51.0	100.0	2728.674828599412	pass	fail	fail	fail	fail	pass	warn	pass	pass	pass	
qc | fastqc-nano | PGXXXF240300_fail_barcode03	PGXXXF240300_fail_barcode03.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	550.0	0.0	91-10172	50.0	100.0	821.1581818181818	pass	fail	fail	fail	warn	pass	warn	pass	warn	pass	
qc | fastqc-nano | PGXXXF240300_fail_barcode04	PGXXXF240300_fail_barcode04.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	245.0	0.0	81-7257	47.0	100.0	756.6734693877551	pass	fail	fail	fail	fail	pass	warn	pass	warn	pass	
qc | fastqc-nano | PGXXXF240300_fail_barcode05	PGXXXF240300_fail_barcode05.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2331223.0	0.0	66-357384	51.0	96.9541763969563	5012.125596736134	pass	fail	fail	fail	warn	pass	warn	pass	warn	fail	
qc | fastqc-nano | PGXXXF240300_fail_barcode06	PGXXXF240300_fail_barcode06.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2151967.0	0.0	65-322750	51.0	97.41644153606505	5008.32931406476	pass	fail	fail	fail	pass	pass	warn	pass	warn	fail	
qc | fastqc-nano | PGXXXF240300_fail_barcode07	PGXXXF240300_fail_barcode07.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2013183.0	0.0	65-240924	50.0	97.08084653417026	2518.6668474748694	pass	fail	fail	fail	pass	pass	warn	pass	warn	fail	
qc | fastqc-nano | PGXXXF240300_fail_barcode08	PGXXXF240300_fail_barcode08.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1917714.0	0.0	67-449353	51.0	97.17883403797371	5010.461395181972	pass	fail	fail	fail	pass	pass	warn	pass	warn	fail	
qc | fastqc-nano | PGXXXF240300_fail_barcode09	PGXXXF240300_fail_barcode09.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	531.0	0.0	123-106263	45.0	100.0	2693.2241054613937	pass	fail	fail	fail	warn	pass	warn	pass	warn	pass	
qc | fastqc-nano | PGXXXF240300_fail_barcode10	PGXXXF240300_fail_barcode10.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	280.0	0.0	89-162309	42.0	100.0	3065.6285714285714	pass	fail	fail	fail	fail	pass	warn	pass	warn	pass	
qc | fastqc-nano | PGXXXF240300_fail_barcode11	PGXXXF240300_fail_barcode11.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1265.0	0.0	134-3989	49.0	99.76284584980237	799.2735177865612	pass	fail	fail	fail	pass	pass	warn	pass	warn	pass	
qc | fastqc-nano | PGXXXF240300_fail_barcode12	PGXXXF240300_fail_barcode12.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4698.0	0.0	76-21295	49.0	99.89357173265219	794.4233716475096	pass	fail	fail	fail	pass	pass	warn	pass	pass	pass	
qc | fastqc-nano | PGXXXF240300_fail_barcode13	PGXXXF240300_fail_barcode13.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1182.0	0.0	90-21074	48.0	100.0	797.8900169204737	pass	fail	fail	fail	warn	pass	warn	pass	pass	pass	
qc | fastqc-nano | PGXXXF240300_fail_barcode14	PGXXXF240300_fail_barcode14.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	212.0	0.0	96-3099	49.0	100.0	711.2641509433962	pass	fail	fail	fail	fail	pass	warn	pass	warn	pass	
qc | fastqc-nano | PGXXXF240300_fail_barcode15	PGXXXF240300_fail_barcode15.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5046.0	0.0	93-68576	49.0	99.86127625842252	1126.8812921125643	pass	fail	fail	fail	pass	pass	warn	pass	warn	pass	
qc | fastqc-nano | PGXXXF240300_fail_barcode16	PGXXXF240300_fail_barcode16.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	998.0	0.0	94-141969	54.0	99.8997995991984	2828.1442885771544	pass	fail	fail	fail	warn	pass	warn	pass	warn	pass	
qc | fastqc-nano | PGXXXF240300_fail_barcode17	PGXXXF240300_fail_barcode17.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	962.0	0.0	147-8134	50.0	99.8960498960499	882.9251559251559	pass	fail	fail	fail	warn	pass	warn	pass	warn	warn	
qc | fastqc-nano | PGXXXF240300_fail_barcode18	PGXXXF240300_fail_barcode18.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3988.0	0.0	81-21410	49.0	99.82447342026079	821.9468405215647	pass	fail	fail	fail	pass	pass	warn	pass	warn	pass	
qc | fastqc-nano | PGXXXF240300_fail_barcode19	PGXXXF240300_fail_barcode19.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1083.0	0.0	129-207479	49.0	99.81532779316713	2737.9113573407203	pass	fail	fail	fail	warn	pass	warn	pass	warn	pass	
qc | fastqc-nano | PGXXXF240300_fail_barcode20	PGXXXF240300_fail_barcode20.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1153.0	0.0	127-8244	49.0	100.0	766.7562879444927	pass	fail	fail	fail	fail	pass	warn	pass	pass	pass	
qc | fastqc-nano | PGXXXF240300_fail_barcode21	PGXXXF240300_fail_barcode21.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1618.0	0.0	84-4294	49.0	99.69097651421508	762.7812113720643	pass	fail	fail	fail	warn	pass	warn	pass	warn	pass	
qc | fastqc-nano | PGXXXF240300_fail_barcode22	PGXXXF240300_fail_barcode22.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	453.0	0.0	143-5483	48.0	99.33774834437085	795.121412803532	pass	fail	fail	fail	fail	pass	warn	pass	warn	pass	
qc | fastqc-nano | PGXXXF240300_fail_barcode23	PGXXXF240300_fail_barcode23.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	616.0	0.0	125-24865	49.0	100.0	831.6850649350649	pass	fail	fail	fail	warn	pass	warn	pass	warn	pass	
qc | fastqc-nano | PGXXXF240300_fail_barcode24	PGXXXF240300_fail_barcode24.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	888.0	0.0	106-4999	49.0	100.0	798.0990990990991	pass	fail	fail	fail	warn	pass	warn	pass	warn	pass	
qc | fastqc-nano | PGXXXF240300_pass_barcode01	PGXXXF240300_pass_barcode01.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100.0	0.0	237-5114	50.0	100.0	904.58	pass	pass	fail	fail	fail	pass	warn	pass	warn	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode02	PGXXXF240300_pass_barcode02.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66.0	0.0	127-2236	52.0	100.0	700.4242424242424	pass	pass	fail	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode03	PGXXXF240300_pass_barcode03.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100.0	0.0	152-3875	51.0	100.0	799.89	pass	pass	warn	fail	fail	pass	warn	pass	warn	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode04	PGXXXF240300_pass_barcode04.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76.0	0.0	233-3160	51.0	100.0	713.2236842105264	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode05	PGXXXF240300_pass_barcode05.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14597665.0	0.0	66-242950	53.0	52.965867363380006	2503.3800824309915	pass	fail	pass	fail	fail	pass	warn	warn	warn	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode06	PGXXXF240300_pass_barcode06.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13921564.0	0.0	67-109941	52.0	57.97273416835289	2500.8485690257216	pass	fail	pass	fail	fail	pass	warn	warn	warn	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode07	PGXXXF240300_pass_barcode07.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13515971.0	0.0	66-102849	51.0	55.35182098075373	2501.2186975689724	pass	fail	pass	fail	fail	pass	warn	warn	warn	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode08	PGXXXF240300_pass_barcode08.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13266600.0	0.0	71-227167	52.0	58.36419846707405	2503.385342514284	pass	fail	pass	fail	fail	pass	warn	warn	warn	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode09	PGXXXF240300_pass_barcode09.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29.0	0.0	199-2081	50.0	100.0	777.1724137931035	pass	pass	warn	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode10	PGXXXF240300_pass_barcode10.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45.0	0.0	145-3888	49.0	100.0	708.8888888888889	pass	pass	warn	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode11	PGXXXF240300_pass_barcode11.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	146.0	0.0	143-3710	52.0	98.63013698630137	789.7945205479452	pass	fail	fail	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode12	PGXXXF240300_pass_barcode12.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	340.0	0.0	132-4537	51.0	98.52941176470588	720.3823529411765	pass	fail	fail	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode13	PGXXXF240300_pass_barcode13.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42.0	0.0	207-3402	47.0	100.0	752.6190476190476	pass	pass	warn	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode14	PGXXXF240300_pass_barcode14.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55.0	0.0	185-1974	50.0	94.54545454545455	681.7454545454545	pass	pass	warn	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode15	PGXXXF240300_pass_barcode15.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	345.0	0.0	168-3572	51.0	98.55072463768117	887.1855072463768	pass	fail	warn	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode16	PGXXXF240300_pass_barcode16.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66.0	0.0	225-2230	52.0	100.0	656.439393939394	pass	pass	warn	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode17	PGXXXF240300_pass_barcode17.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	126.0	0.0	183-2547	52.0	92.85714285714286	801.3809523809524	pass	fail	fail	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode18	PGXXXF240300_pass_barcode18.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	192.0	0.0	109-3356	51.0	100.0	898.890625	pass	fail	fail	fail	fail	pass	warn	pass	warn	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode19	PGXXXF240300_pass_barcode19.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60.0	0.0	174-1359	52.0	78.33333333333333	433.68333333333334	pass	pass	pass	fail	fail	pass	warn	pass	fail	warn	
qc | fastqc-nano | PGXXXF240300_pass_barcode20	PGXXXF240300_pass_barcode20.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58.0	0.0	118-4847	47.0	100.0	791.6724137931035	pass	pass	fail	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode21	PGXXXF240300_pass_barcode21.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	256.0	0.0	182-3557	51.0	88.28125	672.75	pass	fail	warn	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode22	PGXXXF240300_pass_barcode22.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26.0	0.0	161-3197	47.0	100.0	829.7692307692307	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode23	PGXXXF240300_pass_barcode23.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41.0	0.0	218-3397	50.0	97.5609756097561	780.7073170731708	pass	pass	warn	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc-nano | PGXXXF240300_pass_barcode24	PGXXXF240300_pass_barcode24.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69.0	0.0	150-6289	48.0	98.55072463768117	675.0289855072464	pass	pass	warn	fail	fail	pass	warn	pass	fail	fail	
qc | fastqc-nano | PGXXXF240300_pass_unclassified	PGXXXF240300_pass_unclassified.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3097976.0	0.0	1-149153	52.0	73.46116792255732	2516.8873490304636	pass	fail	pass	fail	warn	pass	warn	pass	warn	fail	
qc | fastqc-novaseq | Plate_1_A10_22NG7YLT3_S628_L008_R1_001	Plate_1_A10_22NG7YLT3_S628_L008_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	338304.0	0.0	151.0	66.0	29.9999242685396	151.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail	fail
qc | fastqc-novaseq | Plate_1_A10_22NG7YLT3_S628_L008_R2_001	Plate_1_A10_22NG7YLT3_S628_L008_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	338304.0	0.0	151.0	60.0	30.760985983845586	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail	fail
